"tweet_id","label"
"482421531218165000","trust"
"476303719420526000","happiness"
"475321547654053000","happiness"
"502972198966000000","fear"
"480003032646569000","sadness"
"484792059590000000","fear"
"526069000000000000","anticipation"
"524162556790000000","fear"
"501083965239746000","trust"
"502779562963386000","happiness"
"521351000000000000","anticipation"
"507687158695000000","fear"
"472499871560000000","fear"
"517242194261000000","fear"
"514587971572346000","sadness"
"770804596944000000","anger"
"497151507457000000","surprise"
"520662000000000000","anger"
"477765388239769000","sadness"
"553848141775000000","anticipation"
"771348650279000000","anger"
"543462717915291000","trust"
"555619601909043000","sadness"
"521102795223470000","happiness"
"519195305451855000","trust"
"520616071435268000","sadness"
"517811541648000000","anticipation"
"479268287029604000","trust"
"475221064713121000","trust"
"492716379100000000","surprise"
"497072906209000000","fear"
"517382485324000000","fear"
"473892686676897000","happiness"
"498242626282192000","happiness"
"553348923142578000","trust"
"477260935104000000","fear"
"525592520823013000","happiness"
"476604518135000000","surprise"
"507684491129671000","sadness"
"482985509929488000","sadness"
"507161478182000000","fear"
"520965893140930000","disgust"
"555416706630176000","trust"
"519616451317989000","disgust"
"770713874396000000","anger"
"772582870691000000","anger"
"528213000000000000","anticipation"
"476626244625000000","fear"
"480335204737757000","sadness"
"479716905603694000","happiness"
"484521296286000000","surprise"
"496391113679000000","fear"
"516181547054000000","anticipation"
"546840969757597000","disgust"
"528252000000000000","anticipation"
"527837000000000000","anticipation"
"547784172279193000","disgust"
"519152297062842000","disgust"
"516923351667728000","happiness"
"472181045723295000","sadness"
"482677413126000000","surprise"
"773059921877000000","anger"
"476816087212761000","disgust"
"473476477519000000","anticipation"
"514384975634776000","trust"
"474492203708862000","happiness"
"475947157431000000","anticipation"
"495315480237000000","surprise"
"479945293845000000","fear"
"482026226472000000","surprise"
"522755397124000000","anticipation"
"494204790789144000","sadness"
"532619657766000000","anticipation"
"482018764793000000","surprise"
"509730510352818000","sadness"
"477455617901000000","surprise"
"525659902346551000","trust"
"479380774069000000","anticipation"
"479349430064513000","happiness"
"561272957445000000","anticipation"
"771364549962000000","anger"
"473460933419749000","sadness"
"558900155785936000","happiness"
"524152205222000000","fear"
"478341966610980000","trust"
"482776805569000000","surprise"
"529394372195123000","happiness"
"525753804394745000","trust"
"476411043280000000","fear"
"519066519343738000","disgust"
"478605062738935000","sadness"
"527912243585748000","trust"
"528215000000000000","anticipation"
"524263849218695000","trust"
"476105354015539000","disgust"
"526064392610000000","anticipation"
"547637000000000000","anger"
"517627986351104000","disgust"
"515123894588000000","anticipation"
"536989145257000000","anticipation"
"546841439511269000","disgust"
"533319565455806000","sadness"
"476337164801000000","surprise"
"552997847324000000","surprise"
"508017657287680000","sadness"
"528324000000000000","anticipation"
"557607152521453000","happiness"
"484304266216000000","fear"
"496091657160000000","fear"
"476338028840255000","disgust"
"473929139364175000","happiness"
"523106602975371000","happiness"
"526792557338972000","happiness"
"484190269215000000","anticipation"
"770838113665000000","anger"
"772972839536000000","anger"
"476880734012329000","sadness"
"543479000000000000","anticipation"
"473970864300363000","disgust"
"496954324837000000","fear"
"474053253039026000","happiness"
"528124919969000000","anticipation"
"507441900958142000","sadness"
"497103897920000000","fear"
"547567423198000000","anticipation"
"484539931584000000","surprise"
"519138984329744000","disgust"
